ID DECISÃO TRF2,NUMERO PROCESSO,TEMA TNU,CONSONÂNCIA OU DISSONÂNCIA
TRF2-LIVE-1,5000632-45.2025.4.02.9999,5,CONSONANCIA
TRF2-LIVE-2,5002089-88.2023.4.02.5115,5,CONSONANCIA
TRF2-LIVE-3,5077420-21.2023.4.02.5101,NENHUM_TEMA,NAO_APLICAVEL
TRF2-LIVE-4,5021400-80.2023.4.02.5110,NENHUM_TEMA,NAO_APLICAVEL
TRF2-LIVE-5,5005267-78.2023.4.02.5104,NENHUM_TEMA,NAO_APLICAVEL
TRF2-LIVE-6,5043111-76.2020.4.02.5101,14,CONSONANCIA
TRF2-LIVE-7,5001408-79.2024.4.02.9999,5,CONSONANCIA
TRF2-LIVE-8,5016185-53.2023.4.02.5101,NENHUM_TEMA,NAO_APLICAVEL
TRF2-LIVE-9,5089031-34.2024.4.02.5101,NENHUM_TEMA,NAO_APLICAVEL
TRF2-LIVE-10,5001341-70.2026.4.02.0000,NENHUM_TEMA,NAO_APLICAVEL
TRF2-LIVE-11,0192623-29.2017.4.02.5101,NENHUM_TEMA,NAO_APLICAVEL
TRF2-LIVE-12,5134101-11.2023.4.02.5101,NENHUM_TEMA,NAO_APLICAVEL
TRF2-LIVE-13,5006714-10.2023.4.02.5005,NENHUM_TEMA,NAO_APLICAVEL
TRF2-LIVE-14,5000693-03.2025.4.02.9999,NENHUM_TEMA,NAO_APLICAVEL
TRF2-LIVE-15,5000669-43.2023.4.02.9999,3,CONSONANCIA
TRF2-LIVE-16,5000172-24.2026.4.02.9999,NENHUM_TEMA,NAO_APLICAVEL
TRF2-LIVE-17,5027466-44.2025.4.02.5001,NENHUM_TEMA,NAO_APLICAVEL
TRF2-LIVE-18,5000933-93.2022.4.02.5117,NENHUM_TEMA,NAO_APLICAVEL
TRF2-LIVE-19,5002137-53.2023.4.02.5113,NENHUM_TEMA,NAO_APLICAVEL
TRF2-LIVE-20,5011333-58.2024.4.02.5001,NENHUM_TEMA,NAO_APLICAVEL
