decisionId,temaTnu,consonancia,validade,justificativa
TRF2-LIVE-2,9,DISSONANCIA,INVALIDA,"Tema 9 selecionado por semelhanca de assunto. | Fallback local informativo por erro Gemini (HTTPSConnectionPool(host='generativelanguage.googleapis.com', port=443): Max retries exceeded with url: /v1beta/models/gemini-flash-lite-latest:generateContent?key=AIzaSyCAJEoVgmWSKjZJ1RUMDIkeT94SRjiAB-4 (Caused by NameResolutionError(""HTTPSConnection(host='generativelanguage.googleapis.com', port=443): Failed to resolve 'generativelanguage.googleapis.com' ([Errno 11001] getaddrinfo failed)""))); classificacao marcada como INVALIDA para evitar decisao automatica."
TRF2-LIVE-1,9,DISSONANCIA,INVALIDA,"Tema 9 selecionado por semelhanca de assunto. | Fallback local informativo por erro Gemini (HTTPSConnectionPool(host='generativelanguage.googleapis.com', port=443): Max retries exceeded with url: /v1beta/models/gemini-flash-lite-latest:generateContent?key=AIzaSyCAJEoVgmWSKjZJ1RUMDIkeT94SRjiAB-4 (Caused by NameResolutionError(""HTTPSConnection(host='generativelanguage.googleapis.com', port=443): Failed to resolve 'generativelanguage.googleapis.com' ([Errno 11001] getaddrinfo failed)""))); classificacao marcada como INVALIDA para evitar decisao automatica."
TRF2-LIVE-3,NENHUM_TEMA,NAO_APLICAVEL,VALIDA,"A decisão judicial fornecida não contém informações sobre o mérito, fundamentos ou dispositivo, impossibilitando a classificação em qualquer dos temas da TNU listados. | Resultado reutilizado do cache Gemini."
TRF2-LIVE-4,9,DISSONANCIA,INVALIDA,"Tema 9 selecionado por semelhanca de assunto. | Fallback local informativo por erro Gemini (HTTPSConnectionPool(host='generativelanguage.googleapis.com', port=443): Max retries exceeded with url: /v1beta/models/gemini-flash-lite-latest:generateContent?key=AIzaSyCAJEoVgmWSKjZJ1RUMDIkeT94SRjiAB-4 (Caused by NameResolutionError(""HTTPSConnection(host='generativelanguage.googleapis.com', port=443): Failed to resolve 'generativelanguage.googleapis.com' ([Errno 11001] getaddrinfo failed)""))); classificacao marcada como INVALIDA para evitar decisao automatica."
TRF2-LIVE-5,9,DISSONANCIA,INVALIDA,"Tema 9 selecionado por semelhanca de assunto. | Fallback local informativo por erro Gemini (HTTPSConnectionPool(host='generativelanguage.googleapis.com', port=443): Max retries exceeded with url: /v1beta/models/gemini-flash-lite-latest:generateContent?key=AIzaSyCAJEoVgmWSKjZJ1RUMDIkeT94SRjiAB-4 (Caused by NameResolutionError(""HTTPSConnection(host='generativelanguage.googleapis.com', port=443): Failed to resolve 'generativelanguage.googleapis.com' ([Errno 11001] getaddrinfo failed)""))); classificacao marcada como INVALIDA para evitar decisao automatica."
TRF2-LIVE-6,NENHUM_TEMA,NAO_APLICAVEL,VALIDA,"A decisão judicial fornecida não contém informações sobre o objeto do julgamento, assuntos ou fundamentação, impossibilitando a vinculação a qualquer um dos temas da TNU listados. | Resultado reutilizado do cache Gemini."
TRF2-LIVE-7,NENHUM_TEMA,NAO_APLICAVEL,VALIDA,"A decisão judicial fornecida não contém informações sobre o mérito, o assunto ou o conteúdo do julgamento, impossibilitando a classificação em qualquer um dos temas da TNU listados. | Resultado reutilizado do cache Gemini."
TRF2-LIVE-8,9,DISSONANCIA,INVALIDA,"Tema 9 selecionado por semelhanca de assunto. | Fallback local informativo por erro Gemini (HTTPSConnectionPool(host='generativelanguage.googleapis.com', port=443): Max retries exceeded with url: /v1beta/models/gemini-flash-lite-latest:generateContent?key=AIzaSyCAJEoVgmWSKjZJ1RUMDIkeT94SRjiAB-4 (Caused by NameResolutionError(""HTTPSConnection(host='generativelanguage.googleapis.com', port=443): Failed to resolve 'generativelanguage.googleapis.com' ([Errno 11001] getaddrinfo failed)""))); classificacao marcada como INVALIDA para evitar decisao automatica."
TRF2-LIVE-9,NENHUM_TEMA,NAO_APLICAVEL,VALIDA,"A decisão judicial fornecida não contém informações sobre o mérito, o assunto ou o conteúdo do julgamento, impossibilitando a classificação em qualquer um dos temas da TNU listados. | Resultado reutilizado do cache Gemini."
TRF2-LIVE-10,NENHUM_TEMA,NAO_APLICAVEL,VALIDA,"A decisão judicial fornecida não contém informações sobre o objeto do julgamento, os assuntos tratados ou o teor da decisão, impossibilitando a vinculação a qualquer um dos temas da TNU listados. | Resultado reutilizado do cache Gemini."
