ID DECISÃO TRF2,NUMERO PROCESSO,TEMA TNU,CONSONÂNCIA OU DISSONÂNCIA
1,5021277-41.2025.4.02.5101,"NENHUM TEMA
",
2,5020184-43.2025.4.02.5101,"NENHUM TEMA
",
3,5019643-10.2025.4.02.5101,"NENHUM TEMA
",
4,5019552-17.2025.4.02.5101,"NENHUM TEMA
",
5,5018960-70.2025.4.02.5101,309," 'CONSONANCIA'
"
6,5018130-07.2025.4.02.5101,248," 'CONSONANCIA'
"
7,5017817-46.2025.4.02.5101,"NENHUM TEMA
",
8,5017606-10.2025.4.02.5101,331," 'CONSONANCIA'
"
9,5017163-59.2025.4.02.5101,"369
",
10,5017131-54.2025.4.02.5101,"1.  **Análise da Decisão:**

    *   **Tópico:** Mandado de segurança sobre decisão que não permite a remessa de recurso à segunda instância de recurso interposto em face de sentença extintiva.
    *   **Ramo do Direito:** Processual Civil.
    *   **Questão:** A decisão impugnada impede a análise da tese recursal pela Turma Recursal.
    *   **Decisão:** Concessão da segurança para determinar o encaminhamento do recurso inominado para julgamento pela Turma Recursal.

2.  **Análise dos Temas do TNU:**

    *   Analisando os temas da TNU", a decisão não parece se encaixar em nenhum deles
11,5017048-38.2025.4.02.5101,306," 'CONSONANCIA'
"
12,5016649-09.2025.4.02.5101,"363
",
13,5015837-64.2025.4.02.5101,"NENHUM TEMA
",
14,5015837-64.2025.4.02.5101,291," 'CONSONANCIA'
"
15,5015810-81.2025.4.02.5101,"NENHUM TEMA
",
16,5002855-07.2024.4.02.5116,"NENHUM TEMA
",
17,5037189-92.2022.4.02.5001,"NENHUM TEMA
",
18,5015036-51.2025.4.02.5101,"NENHUM TEMA
",
19,5014186-94.2025.4.02.5101,315," 'CONSONANCIA'
"
20,5012949-25.2025.4.02.5101,"304
",
21,5012124-81.2025.4.02.5101,320," 'CONSONANCIA'
"
22,5012020-89.2025.4.02.5101,"NENHUM TEMA
",
23,5011821-67.2025.4.02.5101,"NENHUM TEMA
",
24,5011406-84.2025.4.02.5101,185," 'CONSONANCIA'
"
25,5011233-60.2025.4.02.5101,"NENHUM TEMA
",
26,5011213-69.2025.4.02.5101,269," 'CONSONANCIA'
"
27,5011211-02.2025.4.02.5101,303," 'CONSONANCIA'
"
28,5011122-76.2025.4.02.5101,"322
",
29,5011019-69.2025.4.02.5101,"NENHUM TEMA
",
30,5010759-89.2025.4.02.5101,363," 'CONSONANCIA'
"
31,5010758-07.2025.4.02.5101,32," 'CONSONANCIA'
"
32,5010717-40.2025.4.02.5101,316," 'CONSONANCIA'
"
33,5010702-71.2025.4.02.5101,"NENHUM TEMA
",
34,5010661-07.2025.4.02.5101,27," 'CONSONANCIA'
"
35,5010491-35.2025.4.02.5101,"NENHUM TEMA
",
36,5010315-56.2025.4.02.5101,"NENHUM TEMA
",
37,5000253-42.2025.4.02.5105,303," 'CONSONANCIA'
"
38,5009821-94.2025.4.02.5101,"362
",
39,5009793-29.2025.4.02.5101,"NENHUM TEMA
",
40,5009793-29.2025.4.02.5101,"NENHUM TEMA
",
41,5009696-29.2025.4.02.5101,324," 'CONSONANCIA'
"
42,5009553-40.2025.4.02.5101,"NENHUM TEMA
",
43,5009404-44.2025.4.02.5101,"NENHUM TEMA
",
44,5009386-23.2025.4.02.5101,"NENHUM TEMA
",
45,5009101-30.2025.4.02.5101,2," 'CONSONANCIA'
"
46,5008420-60.2025.4.02.5101,"267
",
47,5008391-10.2025.4.02.5101,1. 269," 'CONSONANCIA'
"
48,5008363-42.2025.4.02.5101,"331
",
49,5008246-51.2025.4.02.5101,304," 'CONSONANCIA'
"
50,5008179-86.2025.4.02.5101,"NENHUM TEMA
",
51,5008155-58.2025.4.02.5101,"NENHUM TEMA
",
52,5007978-94.2025.4.02.5101,"NENHUM TEMA
",
53,5007834-23.2025.4.02.5101,"NENHUM TEMA
",
54,5002295-85.2025.4.02.5001,"360
",
55,5007772-80.2025.4.02.5101,"NENHUM TEMA
",
56,5007701-78.2025.4.02.5101,"NENHUM TEMA
",
57,5007699-11.2025.4.02.5101,"NENHUM TEMA
",
58,5000023-96.2022.4.02.5107,"NENHUM TEMA
",
59,5006967-30.2025.4.02.5101,"NENHUM TEMA
",
60,5006935-25.2025.4.02.5101,"NENHUM TEMA
",
61,5006914-49.2025.4.02.5101,"NENHUM TEMA
",
62,5006897-13.2025.4.02.5101,"NENHUM TEMA
",
63,5006786-29.2025.4.02.5101,364," 'CONSONANCIA'
"
64,5000994-71.2025.4.02.0000,"NENHUM TEMA
",
65,5006568-98.2025.4.02.5101,"1. 325
",
66,5006540-33.2025.4.02.5101,3. 145," 'CONSONANCIA'
"
67,5006454-62.2025.4.02.5101,"NENHUM TEMA
",
68,5006268-39.2025.4.02.5101,"NENHUM TEMA
",
69,5006140-19.2025.4.02.5101,"NENHUM TEMA
",
70,5005434-36.2025.4.02.5101,"NENHUM TEMA
",
71,5005349-50.2025.4.02.5101,"NENHUM TEMA
",
72,5005226-52.2025.4.02.5101,339," 'CONSONANCIA'
"
73,5001527-62.2025.4.02.5001,240," 'CONSONANCIA'
"
74,5005134-74.2025.4.02.5101,330," 'CONSONANCIA'
"
75,5004965-87.2025.4.02.5101,368," 'CONSONANCIA'
"
76,5001497-27.2025.4.02.5001,"NENHUM TEMA
",
77,5005890-61.2022.4.02.5110,"1.  NENHUM TEMA
",
78,5004860-13.2025.4.02.5101,"NENHUM TEMA
",
79,5004828-08.2025.4.02.5101,297," 'CONSONANCIA'
"
80,5004705-10.2025.4.02.5101,"NENHUM TEMA
",
81,5004585-64.2025.4.02.5101,"NENHUM TEMA
",
82,5004498-11.2025.4.02.5101,316," 'CONSONANCIA'
"
83,5004434-98.2025.4.02.5101,364," 'CONSONANCIA'
"
84,5004339-68.2025.4.02.5101,"NENHUM TEMA
",
85,5004299-86.2025.4.02.5101,"NENHUM TEMA
",
86,5004282-50.2025.4.02.5101,"329
",
87,5004274-73.2025.4.02.5101,"NENHUM TEMA
",
88,5004125-77.2025.4.02.5101,309," 'CONSONANCIA'
"
89,5004047-83.2025.4.02.5101,"NENHUM TEMA
",
90,5004007-04.2025.4.02.5101,"NENHUM TEMA
",
91,5003975-96.2025.4.02.5101,"362
",
92,5003949-98.2025.4.02.5101,"NENHUM TEMA
",
93,5003884-06.2025.4.02.5101,"359
",
94,5003786-21.2025.4.02.5101,"NENHUM TEMA
",
95,5003714-34.2025.4.02.5101,364," 'CONSONANCIA'
"
96,5003699-65.2025.4.02.5101,328," 'CONSONANCIA'
"
97,5003666-75.2025.4.02.5101,"NENHUM TEMA
",
98,5003640-77.2025.4.02.5101,"NENHUM TEMA
",
99,5003629-48.2025.4.02.5101,"NENHUM TEMA
",
100,5003629-48.2025.4.02.5101,"NENHUM TEMA
",
101,5003622-56.2025.4.02.5101,316," 'DISSONANCIA'
"
102,5003502-13.2025.4.02.5101,359," 'CONSONANCIA'
"
103,5003434-63.2025.4.02.5101,"1.  NENHUM TEMA
",
104,5003343-70.2025.4.02.5101,194," 'CONSONANCIA'
"
105,5003302-06.2025.4.02.5101,306," 'CONSONANCIA'
"
106,5003074-31.2025.4.02.5101,352," 'CONSONANCIA'
"
107,5003038-86.2025.4.02.5101,"328
",
108,5002951-33.2025.4.02.5101,"NENHUM TEMA
",
109,5002511-37.2025.4.02.5101,"NENHUM TEMA
",
110,5002380-62.2025.4.02.5101,"1.  **Análise da Decisão:**

*   **Número do Documento:** 1
*   **Conteúdo do Acórdão:** O acórdão trata sobre a forma de cálculo da aposentadoria por invalidez", do auxílio-doença e pensões derivadas
111,5002292-24.2025.4.02.5101,"308
",
112,5001928-52.2025.4.02.5101,362," 'CONSONANCIA'
"
113,5001875-71.2025.4.02.5101,"1.  **Análise da Decisão:**

A decisão em questão trata de um conflito de competência entre juízos federais", envolvendo a implantação de um benefício previdenciário (auxílio por incapacidade temporária). A questão central é definir qual vara federal é competente para julgar o caso
114,5001854-95.2025.4.02.5101,"369
",
115,5001821-08.2025.4.02.5101,1.  36," 'CONSONANCIA'
"
116,5001808-09.2025.4.02.5101,299," 'CONSONANCIA'
"
117,5000511-73.2025.4.02.5001,"NENHUM TEMA
",
118,5001733-67.2025.4.02.5101,"329
",
119,5001733-67.2025.4.02.5101,"NENHUM TEMA
",
120,5001693-85.2025.4.02.5101,201," 'CONSONANCIA'
"
121,5001546-59.2025.4.02.5101,"NENHUM TEMA
",
122,5001364-73.2025.4.02.5101,"NENHUM TEMA
",
123,5001320-54.2025.4.02.5101,364," 'CONSONANCIA'
"
124,5001319-69.2025.4.02.5101,"NENHUM TEMA
",
125,5001272-95.2025.4.02.5101,364," 'CONSONANCIA'
"
126,5000369-69.2025.4.02.5001,"NENHUM TEMA
",
127,5001054-67.2025.4.02.5101,"329
",
128,5000975-88.2025.4.02.5101,306," 'CONSONANCIA'
"
129,5009870-18.2023.4.02.5001,"NENHUM TEMA
",
130,5001598-69.2022.4.02.5001,"1.  NENHUM TEMA
",
131,5000735-02.2025.4.02.5101,"NENHUM TEMA
",
132,5000697-87.2025.4.02.5101,298," 'CONSONANCIA'
"
133,5000673-59.2025.4.02.5101,364," 'CONSONANCIA'
"
134,5000502-05.2025.4.02.5101,308," 'CONSONANCIA'
"
135,5000495-13.2025.4.02.5101,299," 'CONSONANCIA'
"
136,5000387-81.2025.4.02.5101,299," 'CONSONANCIA'
"
137,5000032-68.2025.4.02.5102,364," 'CONSONANCIA'
"
138,5000306-35.2025.4.02.5101,306," 'CONSONANCIA'
"
139,5000292-51.2025.4.02.5101,287," 'CONSONANCIA'
"
140,5000034-41.2025.4.02.5101,212," 'CONSONANCIA'
"
141,5113378-34.2024.4.02.5101,"354
",
142,5113250-14.2024.4.02.5101,350," 'CONSONANCIA'
"
143,5113112-47.2024.4.02.5101,364," 'CONSONANCIA'
"
144,5113083-94.2024.4.02.5101,2.  É devido o restabelecimento do auxílio-doença nas hipóteses conhecidas por “alta programada”," independentemente de prévio pedido administrativo de prorrogação.  VIDE TEMA 164/TNU
Retorno: 4"
145,5113031-98.2024.4.02.5101,277," 'CONSONANCIA'
"
146,5112974-80.2024.4.02.5101,"287
",
147,5112813-70.2024.4.02.5101,364," 'CONSONANCIA'
"
148,5012325-56.2024.4.02.5118,316," 'CONSONANCIA'
"
149,5112246-39.2024.4.02.5101,306," 'CONSONANCIA'
"
150,5112205-72.2024.4.02.5101,"NENHUM TEMA
",
151,5112144-17.2024.4.02.5101,"NENHUM TEMA
",
152,5112034-18.2024.4.02.5101,291," 'CONSONANCIA'
"
153,5008727-88.2024.4.02.5120,364," 'CONSONANCIA'
"
154,5112016-94.2024.4.02.5101,"5112016-94.2024.4.02.5101/RJ: 
NENHUM TEMA
",
155,5111994-36.2024.4.02.5101,316," 'CONSONANCIA'
"
156,5006044-90.2024.4.02.5116,364," 'CONSONANCIA'
"
157,5111978-82.2024.4.02.5101,"NENHUM TEMA
",
158,5111977-97.2024.4.02.5101,"NENHUM TEMA
",
159,5111956-24.2024.4.02.5101,294," 'CONSONANCIA'
"
