decisionId,temaTnu,consonancia,validade,justificativa
TRF2-LIVE-1,5,CONSONANCIA,VALIDA,"A decisão trata de aposentadoria por idade rural e a necessidade de comprovação de atividade campesina no período de carência, alinhando-se à tese firmada no Tema 5 da TNU (que remete ao Tema 145/TNU), que exige o exercício da atividade rural no período imediatamente anterior ao requerimento ou ao atingimento da idade."
TRF2-LIVE-2,5,CONSONANCIA,VALIDA,"A decisão aborda a aposentadoria por idade rural e o regime de economia familiar, alinhando-se ao entendimento consolidado no Tema 5 da TNU (e Tema 145/STJ) sobre a necessidade de comprovação da atividade rural no período imediatamente anterior ao requerimento ou atingimento da idade."
TRF2-LIVE-3,NENHUM_TEMA,NAO_APLICAVEL,VALIDA,"O tema abordado na decisão refere-se à fixação da Data de Início do Benefício (DIB) em aposentadoria por idade rural, especificamente sobre a eficácia de prova material posterior ao requerimento. Nenhum dos temas da TNU listados trata especificamente da fixação da DIB em relação à prova material posterior."
TRF2-LIVE-4,NENHUM_TEMA,NAO_APLICAVEL,VALIDA,"O processo trata de reconhecimento de tempo especial por ausência de responsável técnico no PPP, matéria que não se enquadra nos temas da TNU listados."
TRF2-LIVE-5,NENHUM_TEMA,NAO_APLICAVEL,VALIDA,"A decisão trata de reconhecimento de tempo especial e concessão de aposentadoria por tempo de contribuição, matéria que não se enquadra nos temas da TNU listados, os quais versam sobre temas específicos como aposentadoria rural, pensão por morte, auxílio-doença, entre outros."
TRF2-LIVE-6,NENHUM_TEMA,NAO_APLICAVEL,VALIDA,"O objeto da decisão trata de revisão de benefício previdenciário com foco na averbação de tempo de contribuição e exclusão de fator previdenciário, matéria que não se enquadra nos temas da TNU listados."
TRF2-LIVE-7,14,CONSONANCIA,VALIDA,"A decisão trata de revisão de aposentadoria por tempo de contribuição com foco no reconhecimento de tempo especial por exposição a agentes nocivos (ruído e químicos), alinhando-se ao entendimento da TNU (Tema 14 e Súmula 68) de que laudos extemporâneos possuem força probatória se as condições ambientais não foram alteradas."
TRF2-LIVE-8,5,CONSONANCIA,VALIDA,"A decisão aborda a aposentadoria por idade rural e a necessidade de comprovação da atividade campesina, alinhando-se ao entendimento consolidado no Tema 5 da TNU (que remete ao Tema 145/TNU) sobre a indispensabilidade do exercício da atividade rural no período imediatamente anterior ao requerimento ou atingimento da idade."
TRF2-LIVE-9,NENHUM_TEMA,NAO_APLICAVEL,VALIDA,"A decisão trata de mandado de segurança sobre prazo para análise de requerimento administrativo, matéria processual não abrangida pelos temas da TNU listados."
TRF2-LIVE-10,NENHUM_TEMA,NAO_APLICAVEL,VALIDA,"A decisão trata de interesse de agir em processo de servidor público federal (conversão de tempo especial em comum), matéria de competência da Justiça Federal comum e não da TNU, que julga questões previdenciárias do RGPS. Nenhum dos temas da TNU listados aborda especificamente a controvérsia sobre interesse de agir em ações de servidores públicos. | Resultado reutilizado do cache Gemini."
TRF2-LIVE-11,NENHUM_TEMA,NAO_APLICAVEL,VALIDA,"A decisão trata de questões processuais (coisa julgada/litispendência) e mérito sobre descontos em benefício previdenciário e danos morais, matérias que não se enquadram nos temas da TNU fornecidos."
TRF2-LIVE-12,NENHUM_TEMA,NAO_APLICAVEL,VALIDA,"A decisao trata de reintegração de posse e contrato verbal com a Administração Pública, matéria de natureza civil e administrativa que não se enquadra em nenhum dos temas previdenciários ou administrativos específicos da TNU listados."
