decisionId,temaTnu,action
TRF2-LIVE-1,NENHUM_TEMA,SEM_ACAO
TRF2-LIVE-2,NENHUM_TEMA,SEM_ACAO
TRF2-LIVE-3,NENHUM_TEMA,SEM_ACAO
TRF2-LIVE-4,NENHUM_TEMA,SEM_ACAO
TRF2-LIVE-5,NENHUM_TEMA,SEM_ACAO
TRF2-LIVE-6,NENHUM_TEMA,SEM_ACAO
TRF2-LIVE-7,NENHUM_TEMA,SEM_ACAO
TRF2-LIVE-8,NENHUM_TEMA,SEM_ACAO
TRF2-LIVE-9,NENHUM_TEMA,SEM_ACAO
TRF2-LIVE-10,NENHUM_TEMA,SEM_ACAO
TRF2-LIVE-11,NENHUM_TEMA,SEM_ACAO
TRF2-LIVE-12,NENHUM_TEMA,SEM_ACAO
TRF2-LIVE-13,NENHUM_TEMA,SEM_ACAO
TRF2-LIVE-14,NENHUM_TEMA,SEM_ACAO
TRF2-LIVE-15,NENHUM_TEMA,SEM_ACAO
TRF2-LIVE-16,NENHUM_TEMA,SEM_ACAO
TRF2-LIVE-17,NENHUM_TEMA,SEM_ACAO
TRF2-LIVE-18,NENHUM_TEMA,SEM_ACAO
TRF2-LIVE-19,NENHUM_TEMA,SEM_ACAO
TRF2-LIVE-20,NENHUM_TEMA,SEM_ACAO
