decisionId,temaTnu,consonancia,validade,justificativa
44,230,CONSONANCIA,VALIDA,Tema 230 selecionado por semelhanca de assunto.
77,164,CONSONANCIA,VALIDA,Tema 164 selecionado por semelhanca de assunto.
1633,120,CONSONANCIA,VALIDA,Tema 120 selecionado por semelhanca de assunto.
1634,120,CONSONANCIA,VALIDA,Tema 120 selecionado por semelhanca de assunto.
1749,120,CONSONANCIA,VALIDA,Tema 120 selecionado por semelhanca de assunto.
1797,301,CONSONANCIA,VALIDA,Tema 301 selecionado por semelhanca de assunto.
748,164,CONSONANCIA,VALIDA,Tema 164 selecionado por semelhanca de assunto.
1269,164,CONSONANCIA,VALIDA,Tema 164 selecionado por semelhanca de assunto.
1046,120,CONSONANCIA,VALIDA,Tema 120 selecionado por semelhanca de assunto.
1255,120,CONSONANCIA,VALIDA,Tema 120 selecionado por semelhanca de assunto.
216,164,CONSONANCIA,VALIDA,Tema 164 selecionado por semelhanca de assunto.
1076,164,CONSONANCIA,VALIDA,Tema 164 selecionado por semelhanca de assunto.
1356,271,CONSONANCIA,VALIDA,Tema 271 selecionado por semelhanca de assunto.
1419,322,CONSONANCIA,VALIDA,Tema 322 selecionado por semelhanca de assunto.
1915,244,CONSONANCIA,VALIDA,Tema 244 selecionado por semelhanca de assunto.
986,120,CONSONANCIA,VALIDA,Tema 120 selecionado por semelhanca de assunto.
727,164,CONSONANCIA,VALIDA,Tema 164 selecionado por semelhanca de assunto.
194,271,CONSONANCIA,VALIDA,Tema 271 selecionado por semelhanca de assunto.
803,157,CONSONANCIA,VALIDA,Tema 157 selecionado por semelhanca de assunto.
1421,120,CONSONANCIA,VALIDA,Tema 120 selecionado por semelhanca de assunto.
214,164,CONSONANCIA,VALIDA,Tema 164 selecionado por semelhanca de assunto.
195,294,CONSONANCIA,VALIDA,Tema 294 selecionado por semelhanca de assunto.
315,244,CONSONANCIA,VALIDA,Tema 244 selecionado por semelhanca de assunto.
64,164,CONSONANCIA,VALIDA,Tema 164 selecionado por semelhanca de assunto.
466,313,CONSONANCIA,VALIDA,Tema 313 selecionado por semelhanca de assunto.
1229,164,CONSONANCIA,VALIDA,Tema 164 selecionado por semelhanca de assunto.
1443,164,CONSONANCIA,VALIDA,Tema 164 selecionado por semelhanca de assunto.
1302,120,CONSONANCIA,VALIDA,Tema 120 selecionado por semelhanca de assunto.
1974,120,CONSONANCIA,VALIDA,Tema 120 selecionado por semelhanca de assunto.
1088,273,CONSONANCIA,VALIDA,Tema 273 selecionado por semelhanca de assunto.
1388,76,CONSONANCIA,VALIDA,Tema 76 selecionado por semelhanca de assunto.
1569,120,CONSONANCIA,VALIDA,Tema 120 selecionado por semelhanca de assunto.
875,167,CONSONANCIA,VALIDA,Tema 167 selecionado por semelhanca de assunto.
193,271,CONSONANCIA,VALIDA,Tema 271 selecionado por semelhanca de assunto.
1042,271,CONSONANCIA,VALIDA,Tema 271 selecionado por semelhanca de assunto.
1135,271,CONSONANCIA,VALIDA,Tema 271 selecionado por semelhanca de assunto.
1354,271,CONSONANCIA,VALIDA,Tema 271 selecionado por semelhanca de assunto.
1473,271,CONSONANCIA,VALIDA,Tema 271 selecionado por semelhanca de assunto.
1393,157,CONSONANCIA,VALIDA,Tema 157 selecionado por semelhanca de assunto.
324,93,CONSONANCIA,VALIDA,Tema 93 selecionado por semelhanca de assunto.
572,81,CONSONANCIA,VALIDA,Tema 81 selecionado por semelhanca de assunto.
1570,120,CONSONANCIA,VALIDA,Tema 120 selecionado por semelhanca de assunto.
293,244,CONSONANCIA,VALIDA,Tema 244 selecionado por semelhanca de assunto.
578,71,CONSONANCIA,VALIDA,Tema 71 selecionado por semelhanca de assunto.
449,294,CONSONANCIA,VALIDA,Tema 294 selecionado por semelhanca de assunto.
655,294,CONSONANCIA,VALIDA,Tema 294 selecionado por semelhanca de assunto.
656,294,CONSONANCIA,VALIDA,Tema 294 selecionado por semelhanca de assunto.
927,294,CONSONANCIA,VALIDA,Tema 294 selecionado por semelhanca de assunto.
928,294,CONSONANCIA,VALIDA,Tema 294 selecionado por semelhanca de assunto.
929,294,CONSONANCIA,VALIDA,Tema 294 selecionado por semelhanca de assunto.
1368,294,CONSONANCIA,VALIDA,Tema 294 selecionado por semelhanca de assunto.
1369,294,CONSONANCIA,VALIDA,Tema 294 selecionado por semelhanca de assunto.
1370,294,CONSONANCIA,VALIDA,Tema 294 selecionado por semelhanca de assunto.
1543,294,CONSONANCIA,VALIDA,Tema 294 selecionado por semelhanca de assunto.
1544,294,CONSONANCIA,VALIDA,Tema 294 selecionado por semelhanca de assunto.
1551,294,CONSONANCIA,VALIDA,Tema 294 selecionado por semelhanca de assunto.
1586,294,CONSONANCIA,VALIDA,Tema 294 selecionado por semelhanca de assunto.
1587,294,CONSONANCIA,VALIDA,Tema 294 selecionado por semelhanca de assunto.
